"1994/01/01;00:00:00" 5608 <
"1994/01/02;00:00:00" 6154 <
"1994/01/03;00:00:00" 6657 <
"1994/01/04;00:00:00" 6998 <
"1994/01/05;00:00:00" 7324 <
"1994/01/06;00:00:00" 7594 <
"1994/01/07;00:00:00" 7680 <
"1994/01/08;00:00:00" 7875 <
"1994/01/09;00:00:00" 8100 <
"1994/01/10;00:00:00" 7952 <
"1994/01/11;00:00:00" 7383 <
"1994/01/12;00:00:00" 6428 <
"1994/01/13;00:00:00" 5415 <
"1994/01/14;00:00:00" 4788 <
"1994/01/15;00:00:00" 4476 <
"1994/01/16;00:00:00" 4255 <
"1994/01/17;00:00:00" 4089 <
"1994/01/18;00:00:00" 4004 <
"1994/01/19;00:00:00" 3866 <
"1994/01/20;00:00:00" 3640 <
"1994/01/21;00:00:00" 3402 <
"1994/01/22;00:00:00" 3176 <
"1994/01/23;00:00:00" 3009 <
"1994/01/24;00:00:00" 2991 <
"1994/01/25;00:00:00" 3085 <
"1994/01/26;00:00:00" 3168 <
"1994/01/27;00:00:00" 3383 <
"1994/01/28;00:00:00" 3957 <
"1994/01/29;00:00:00" 4887 <
"1994/01/30;00:00:00" 5680 <
"1994/01/31;00:00:00" 5891 <
"1994/02/01;00:00:00" 5658 <
"1994/02/02;00:00:00" 5209 <
"1994/02/03;00:00:00" 4713 <
"1994/02/04;00:00:00" 4281 <
"1994/02/05;00:00:00" 4129 <
"1994/02/06;00:00:00" 4326 <
"1994/02/07;00:00:00" 4255 <
"1994/02/08;00:00:00" 3963 <
"1994/02/09;00:00:00" 3711 <
"1994/02/10;00:00:00" 3536 <
"1994/02/11;00:00:00" 3349 <
"1994/02/12;00:00:00" 3223 <
"1994/02/13;00:00:00" 3117 <
"1994/02/14;00:00:00" 2976 <
"1994/02/15;00:00:00" 2863 <
"1994/02/16;00:00:00" 2720 <
"1994/02/17;00:00:00" 2540 <
"1994/02/18;00:00:00" 2362 <
"1994/02/19;00:00:00" 2266 <
"1994/02/20;00:00:00" 2170 <
"1994/02/21;00:00:00" 2086 <
"1994/02/22;00:00:00" 2020 <
"1994/02/23;00:00:00" 1963 <
"1994/02/24;00:00:00" 1935 <
"1994/02/25;00:00:00" 1988 <
"1994/02/26;00:00:00" 2146 <
"1994/02/27;00:00:00" 2293 <
"1994/02/28;00:00:00" 2406 <
"1994/03/01;00:00:00" 2490 <
"1994/03/02;00:00:00" 2482 <
"1994/03/03;00:00:00" 2532 <
"1994/03/04;00:00:00" 2646 <
"1994/03/05;00:00:00" 2791 <
"1994/03/06;00:00:00" 2901 <
"1994/03/07;00:00:00" 2941 <
"1994/03/08;00:00:00" 2905 <
"1994/03/09;00:00:00" 2817 <
"1994/03/10;00:00:00" 2697 <
"1994/03/11;00:00:00" 2566 <
"1994/03/12;00:00:00" 2462 <
"1994/03/13;00:00:00" 2382 <
"1994/03/14;00:00:00" 2367 <
"1994/03/15;00:00:00" 2381 <
"1994/03/16;00:00:00" 2593 <
"1994/03/17;00:00:00" 2926 <
"1994/03/18;00:00:00" 3106 <
"1994/03/19;00:00:00" 3213 <
"1994/03/20;00:00:00" 3486 <
"1994/03/21;00:00:00" 3876 <
"1994/03/22;00:00:00" 4176 <
"1994/03/23;00:00:00" 4238 <
"1994/03/24;00:00:00" 4236 <
"1994/03/25;00:00:00" 4126 <
"1994/03/26;00:00:00" 3903 <
"1994/03/27;00:00:00" 3767 <
"1994/03/28;00:00:00" 3613 <
"1994/03/29;00:00:00" 3463 <
"1994/03/30;00:00:00" 3333 <
"1994/03/31;00:00:00" 3182 <
"1994/04/01;00:00:00" 3049 <
"1994/04/02;00:00:00" 2962 <
"1994/04/03;00:00:00" 2985 <
"1994/04/04;00:00:00" 3046 <
"1994/04/05;00:00:00" 3196 <
"1994/04/06;00:00:00" 3332 <
"1994/04/07;00:00:00" 3524 <
"1994/04/08;00:00:00" 3607 <
"1994/04/09;00:00:00" 3582 <
"1994/04/10;00:00:00" 3508 <
"1994/04/11;00:00:00" 3486 <
"1994/04/12;00:00:00" 3680 <
"1994/04/13;00:00:00" 3774 <
"1994/04/14;00:00:00" 3705 <
"1994/04/15;00:00:00" 3854 <
"1994/04/16;00:00:00" 4582 <
"1994/04/17;00:00:00" 5363 <
"1994/04/18;00:00:00" 5382 <
"1994/04/19;00:00:00" 4931 <
"1994/04/20;00:00:00" 4449 <
"1994/04/21;00:00:00" 4007 <
"1994/04/22;00:00:00" 3667 <
"1994/04/23;00:00:00" 3368 <
"1994/04/24;00:00:00" 3143 <
"1994/04/25;00:00:00" 2982 <
"1994/04/26;00:00:00" 2880 <
"1994/04/27;00:00:00" 2762 <
"1994/04/28;00:00:00" 2690 <
"1994/04/29;00:00:00" 2761 <
"1994/04/30;00:00:00" 2803 <
"1994/05/01;00:00:00" 2708 <
"1994/05/02;00:00:00" 2581 <
"1994/05/03;00:00:00" 2474 <
"1994/05/04;00:00:00" 2342 <
"1994/05/05;00:00:00" 2287 <
"1994/05/06;00:00:00" 2275 <
"1994/05/07;00:00:00" 2289 <
"1994/05/08;00:00:00" 2269 <
"1994/05/09;00:00:00" 2267 <
"1994/05/10;00:00:00" 2244 <
"1994/05/11;00:00:00" 2205 <
"1994/05/12;00:00:00" 2188 <
"1994/05/13;00:00:00" 2174 <
"1994/05/14;00:00:00" 2210 <
"1994/05/15;00:00:00" 2202 <
"1994/05/16;00:00:00" 2181 <
"1994/05/17;00:00:00" 2171 <
"1994/05/18;00:00:00" 2121 <
"1994/05/19;00:00:00" 2050 <
"1994/05/20;00:00:00" 2020 <
"1994/05/21;00:00:00" 2083 <
"1994/05/22;00:00:00" 2401 <
"1994/05/23;00:00:00" 3089 <
"1994/05/24;00:00:00" 3525 <
"1994/05/25;00:00:00" 3639 <
"1994/05/26;00:00:00" 3582 <
"1994/05/27;00:00:00" 3562 <
"1994/05/28;00:00:00" 3517 <
"1994/05/29;00:00:00" 3455 <
"1994/05/30;00:00:00" 3405 <
"1994/05/31;00:00:00" 3334 <
"1994/06/01;00:00:00" 3247 <
"1994/06/02;00:00:00" 3134 <
"1994/06/03;00:00:00" 3112 <
"1994/06/04;00:00:00" 3043 <
"1994/06/05;00:00:00" 2999 <
"1994/06/06;00:00:00" 3039 <
"1994/06/07;00:00:00" 3131 <
"1994/06/08;00:00:00" 3181 <
"1994/06/09;00:00:00" 3183 <
"1994/06/10;00:00:00" 3180 <
"1994/06/11;00:00:00" 3197 <
"1994/06/12;00:00:00" 3190 <
"1994/06/13;00:00:00" 3143 <
"1994/06/14;00:00:00" 3120 <
"1994/06/15;00:00:00" 3081 <
"1994/06/16;00:00:00" 2999 <
"1994/06/17;00:00:00" 2899 <
"1994/06/18;00:00:00" 2782 <
"1994/06/19;00:00:00" 2653 <
"1994/06/20;00:00:00" 2534 <
"1994/06/21;00:00:00" 2402 <
"1994/06/22;00:00:00" 2301 <
"1994/06/23;00:00:00" 2208 <
"1994/06/24;00:00:00" 2187 <
"1994/06/25;00:00:00" 2180 <
"1994/06/26;00:00:00" 2077 <
"1994/06/27;00:00:00" 1998 <
"1994/06/28;00:00:00" 1978 <
"1994/06/29;00:00:00" 1987 <
"1994/06/30;00:00:00" 2046 <
"1994/07/01;00:00:00" 2120 <
"1994/07/02;00:00:00" 2116 <
"1994/07/03;00:00:00" 2051 <
"1994/07/04;00:00:00" 2000 <
"1994/07/05;00:00:00" 1999 <
"1994/07/06;00:00:00" 1959 <
"1994/07/07;00:00:00" 1880 <
"1994/07/08;00:00:00" 1876 <
"1994/07/09;00:00:00" 1886 <
"1994/07/10;00:00:00" 1906 <
"1994/07/11;00:00:00" 1958 <
"1994/07/12;00:00:00" 1980 <
"1994/07/13;00:00:00" 1902 <
"1994/07/14;00:00:00" 1839 <
"1994/07/15;00:00:00" 1780 <
"1994/07/16;00:00:00" 1710 <
"1994/07/17;00:00:00" 1675 <
"1994/07/18;00:00:00" 1668 <
"1994/07/19;00:00:00" 1653 <
"1994/07/20;00:00:00" 1635 <
"1994/07/21;00:00:00" 1673 <
"1994/07/22;00:00:00" 1733 <
"1994/07/23;00:00:00" 1822 <
"1994/07/24;00:00:00" 1837 <
"1994/07/25;00:00:00" 1767 <
"1994/07/26;00:00:00" 1705 <
"1994/07/27;00:00:00" 1639 <
"1994/07/28;00:00:00" 1570 <
"1994/07/29;00:00:00" 1547 <
"1994/07/30;00:00:00" 1539 <
