FLBO id 'N_NDB_1' ty 0 h_ wt 1 PDIN 0 0 '01;00:50:00' pdin TBLE
 '1993/11/30;23:55:00' -0.45 < 
 '1993/12/01;00:05:00' -0.42 < 
 '1993/12/01;00:15:00' -0.41 < 
 '1993/12/01;00:25:00' -0.37 < 
 '1993/12/01;00:35:00' -0.34 < 
 '1993/12/01;00:45:00' -0.29 < 
 '1993/12/01;00:55:00' -0.23 < 
 '1993/12/01;01:05:00' -0.15 < 
 '1993/12/01;01:15:00' -0.07 < 
 '1993/12/01;01:25:00' 0 < 
 '1993/12/01;01:35:00' 0.09 < 
 '1993/12/01;01:45:00' 0.19 < 
 '1993/12/01;01:55:00' 0.3 < 
 '1993/12/01;02:05:00' 0.43 < 
 '1993/12/01;02:15:00' 0.55 < 
 '1993/12/01;02:25:00' 0.67 < 
 '1993/12/01;02:35:00' 0.81 < 
 '1993/12/01;02:45:00' 0.93 < 
 '1993/12/01;02:55:00' 1.03 < 
 '1993/12/01;03:05:00' 1.13 < 
 '1993/12/01;03:15:00' 1.18 < 
 '1993/12/01;03:25:00' 1.2 < 
 '1993/12/01;03:35:00' 1.21 < 
 '1993/12/01;03:45:00' 1.19 < 
 '1993/12/01;03:55:00' 1.18 < 
 '1993/12/01;04:05:00' 1.14 < 
 '1993/12/01;04:15:00' 1.11 < 
 '1993/12/01;04:25:00' 1.08 < 
 '1993/12/01;04:35:00' 1.06 < 
 '1993/12/01;04:45:00' 1.02 < 
 '1993/12/01;04:55:00' 0.98 < 
 '1993/12/01;05:05:00' 0.93 < 
 '1993/12/01;05:15:00' 0.88 < 
 '1993/12/01;05:25:00' 0.81 < 
 '1993/12/01;05:35:00' 0.73 < 
 '1993/12/01;05:45:00' 0.66 < 
 '1993/12/01;05:55:00' 0.57 < 
 '1993/12/01;06:05:00' 0.5 < 
 '1993/12/01;06:15:00' 0.41 < 
 '1993/12/01;06:25:00' 0.31 < 
 '1993/12/01;06:35:00' 0.22 < 
 '1993/12/01;06:45:00' 0.11 < 
 '1993/12/01;06:55:00' 0.01 < 
 '1993/12/01;07:05:00' -0.1 < 
 '1993/12/01;07:15:00' -0.2 < 
 '1993/12/01;07:25:00' -0.31 < 
 '1993/12/01;07:35:00' -0.41 < 
 '1993/12/01;07:45:00' -0.48 < 
 '1993/12/01;07:55:00' -0.57 < 
 '1993/12/01;08:05:00' -0.62 < 
 '1993/12/01;08:15:00' -0.67 < 
 '1993/12/01;08:25:00' -0.7 < 
 '1993/12/01;08:35:00' -0.74 < 
 '1993/12/01;08:45:00' -0.74 < 
 '1993/12/01;08:55:00' -0.74 < 
 '1993/12/01;09:05:00' -0.74 < 
 '1993/12/01;09:15:00' -0.71 < 
 '1993/12/01;09:25:00' -0.7 < 
 '1993/12/01;09:35:00' -0.66 < 
 '1993/12/01;09:45:00' -0.68 < 
 '1993/12/01;09:55:00' -0.69 < 
 '1993/12/01;10:05:00' -0.7 < 
 '1993/12/01;10:15:00' -0.72 < 
 '1993/12/01;10:25:00' -0.72 < 
 '1993/12/01;10:35:00' -0.73 < 
 '1993/12/01;10:45:00' -0.73 < 
 '1993/12/01;10:55:00' -0.75 < 
 '1993/12/01;11:05:00' -0.74 < 
 '1993/12/01;11:15:00' -0.75 < 
 '1993/12/01;11:25:00' -0.75 < 
 '1993/12/01;11:35:00' -0.77 < 
 '1993/12/01;11:45:00' -0.77 < 
 '1993/12/01;11:55:00' -0.78 < 
 '1993/12/01;12:05:00' -0.78 < 
 '1993/12/01;12:15:00' -0.78 < 
 '1993/12/01;12:25:00' -0.76 < 
 '1993/12/01;12:35:00' -0.72 < 
 '1993/12/01;12:45:00' -0.7 < 
 '1993/12/01;12:55:00' -0.66 < 
 '1993/12/01;13:05:00' -0.6 < 
 '1993/12/01;13:15:00' -0.54 < 
 '1993/12/01;13:25:00' -0.46 < 
 '1993/12/01;13:35:00' -0.38 < 
 '1993/12/01;13:45:00' -0.3 < 
 '1993/12/01;13:55:00' -0.19 < 
 '1993/12/01;14:05:00' -0.07 < 
 '1993/12/01;14:15:00' 0.09 < 
 '1993/12/01;14:25:00' 0.27 < 
 '1993/12/01;14:35:00' 0.45 < 
 '1993/12/01;14:45:00' 0.64 < 
 '1993/12/01;14:55:00' 0.82 < 
 '1993/12/01;15:05:00' 0.95 < 
 '1993/12/01;15:15:00' 1.05 < 
 '1993/12/01;15:25:00' 1.1 < 
 '1993/12/01;15:35:00' 1.11 < 
 '1993/12/01;15:45:00' 1.09 < 
 '1993/12/01;15:55:00' 1.06 < 
 '1993/12/01;16:05:00' 1.03 < 
 '1993/12/01;16:15:00' 1 < 
 '1993/12/01;16:25:00' 0.98 < 
 '1993/12/01;16:35:00' 0.98 < 
 '1993/12/01;16:45:00' 0.97 < 
 '1993/12/01;16:55:00' 0.94 < 
 '1993/12/01;17:05:00' 0.91 < 
 '1993/12/01;17:15:00' 0.87 < 
 '1993/12/01;17:25:00' 0.81 < 
 '1993/12/01;17:35:00' 0.74 < 
 '1993/12/01;17:45:00' 0.67 < 
 '1993/12/01;17:55:00' 0.6 < 
 '1993/12/01;18:05:00' 0.54 < 
 '1993/12/01;18:15:00' 0.47 < 
 '1993/12/01;18:25:00' 0.39 < 
 '1993/12/01;18:35:00' 0.31 < 
 '1993/12/01;18:45:00' 0.22 < 
