Datum;H_EAST1
2004-06-21 00:00:00;1.909659
2004-06-21 02:00:00;2.642443
2004-06-21 04:00:00;2.756294
2004-06-21 06:00:00;2.840796
2004-06-21 08:00:00;2.885574
2004-06-21 10:00:00;2.926976
2004-06-21 12:00:00;2.972283
2004-06-21 14:00:00;3.016922
2004-06-21 16:00:00;3.059521
2004-06-21 18:00:00;3.097576
2004-06-21 20:00:00;3.126208
2004-06-21 22:00:00;3.144493
2004-06-22 00:00:00;3.157113
2004-06-22 02:00:00;3.166309
2004-06-22 04:00:00;3.170243
2004-06-22 06:00:00;3.167962
2004-06-22 08:00:00;3.160098
2004-06-22 10:00:00;3.148656
2004-06-22 12:00:00;3.138342
2004-06-22 14:00:00;3.129615
2004-06-22 16:00:00;3.118351
2004-06-22 18:00:00;3.103345
2004-06-22 20:00:00;3.084822
2004-06-22 22:00:00;3.064735
2004-06-23 00:00:00;3.048797
2004-06-23 02:00:00;3.037109
2004-06-23 04:00:00;3.02427
2004-06-23 06:00:00;3.009439
2004-06-23 08:00:00;2.993357
2004-06-23 10:00:00;2.978816
2004-06-23 12:00:00;2.973191
2004-06-23 14:00:00;2.975817
2004-06-23 16:00:00;2.979018
2004-06-23 18:00:00;2.98234
2004-06-23 20:00:00;2.986232
2004-06-23 22:00:00;2.993605
2004-06-24 00:00:00;3.011975
2004-06-24 02:00:00;3.038843
2004-06-24 04:00:00;3.065881
2004-06-24 06:00:00;3.092103
2004-06-24 08:00:00;3.117923
2004-06-24 10:00:00;3.145636
2004-06-24 12:00:00;3.181321
2004-06-24 14:00:00;3.223746
2004-06-24 16:00:00;3.265972
2004-06-24 18:00:00;3.30641
2004-06-24 20:00:00;3.345129
2004-06-24 22:00:00;3.383739
2004-06-25 00:00:00;3.42719
2004-06-25 02:00:00;3.475617
2004-06-25 04:00:00;3.523969
2004-06-25 06:00:00;3.570014
2004-06-25 08:00:00;3.613723
2004-06-25 10:00:00;3.656208
2004-06-25 12:00:00;3.700691
2004-06-25 14:00:00;3.748714
2004-06-25 16:00:00;3.797291
2004-06-25 18:00:00;3.844917
2004-06-25 20:00:00;3.891136
2004-06-25 22:00:00;3.936134
2004-06-26 00:00:00;3.982302
2004-06-26 02:00:00;4.030863
2004-06-26 04:00:00;4.079723
2004-06-26 06:00:00;4.127013
2004-06-26 08:00:00;4.172044
2004-06-26 10:00:00;4.215136
2004-06-26 12:00:00;4.257913
2004-06-26 14:00:00;4.301478
2004-06-26 16:00:00;4.34471
2004-06-26 18:00:00;4.386524
2004-06-26 20:00:00;4.426318
2004-06-26 22:00:00;4.463953
2004-06-27 00:00:00;4.500558
2004-06-27 02:00:00;4.537334
2004-06-27 04:00:00;4.57381
2004-06-27 06:00:00;4.609027
2004-06-27 08:00:00;4.6424
2004-06-27 10:00:00;4.673892
2004-06-27 12:00:00;4.704407
2004-06-27 14:00:00;4.734842
2004-06-27 16:00:00;4.765006
2004-06-27 18:00:00;4.794203
2004-06-27 20:00:00;4.821942
2004-06-27 22:00:00;4.848133
2004-06-28 00:00:00;4.873406
2004-06-28 02:00:00;4.898533
2004-06-28 04:00:00;4.923495
2004-06-28 06:00:00;4.947786
2004-06-28 08:00:00;4.970976
2004-06-28 10:00:00;4.992925
2004-06-28 12:00:00;5.014012
2004-06-28 14:00:00;5.034822
2004-06-28 16:00:00;5.05526
2004-06-28 18:00:00;5.074601
2004-06-28 20:00:00;5.091941
2004-06-28 22:00:00;5.106452
2004-06-29 00:00:00;5.11776
2004-06-29 02:00:00;5.125712
2004-06-29 04:00:00;5.129803
2004-06-29 06:00:00;5.129157
2004-06-29 08:00:00;5.122967
2004-06-29 10:00:00;5.111125
2004-06-29 12:00:00;5.094166
2004-06-29 14:00:00;5.073174
2004-06-29 16:00:00;5.049036
2004-06-29 18:00:00;5.022243
2004-06-29 20:00:00;4.993052
2004-06-29 22:00:00;4.961725
2004-06-30 00:00:00;4.928734
