Datum;Q_EAST1
2004-06-21 00:00:00;0
2004-06-21 02:00:00;4728.518
2004-06-21 04:00:00;3900.717
2004-06-21 06:00:00;3454.574
2004-06-21 08:00:00;3142.801
2004-06-21 10:00:00;3107.347
2004-06-21 12:00:00;3187.451
2004-06-21 14:00:00;3275.336
2004-06-21 16:00:00;3350.475
2004-06-21 18:00:00;3419.624
2004-06-21 20:00:00;3503.821
2004-06-21 22:00:00;3593.631
2004-06-22 00:00:00;3655.37
2004-06-22 02:00:00;3689.831
2004-06-22 04:00:00;3724.746
2004-06-22 06:00:00;3768.011
2004-06-22 08:00:00;3812.166
2004-06-22 10:00:00;3845.748
2004-06-22 12:00:00;3847.895
2004-06-22 14:00:00;3833.469
2004-06-22 16:00:00;3837.552
2004-06-22 18:00:00;3856.843
2004-06-22 20:00:00;3882.484
2004-06-22 22:00:00;3901.522
2004-06-23 00:00:00;3888.27
2004-06-23 02:00:00;3865.939
2004-06-23 04:00:00;3879.171
2004-06-23 06:00:00;3919.412
2004-06-23 08:00:00;3976.199
2004-06-23 10:00:00;4033.279
2004-06-23 12:00:00;4057.162
2004-06-23 14:00:00;4080.04
2004-06-23 16:00:00;4148.01
2004-06-23 18:00:00;4244.414
2004-06-23 20:00:00;4355.626
2004-06-23 22:00:00;4461.46
2004-06-24 00:00:00;4525.283
2004-06-24 02:00:00;4583.195
2004-06-24 04:00:00;4680.968
2004-06-24 06:00:00;4799.339
2004-06-24 08:00:00;4925.355
2004-06-24 10:00:00;5041.528
2004-06-24 12:00:00;5117.958
2004-06-24 14:00:00;5182.289
2004-06-24 16:00:00;5277.346
2004-06-24 18:00:00;5391.593
2004-06-24 20:00:00;5512.897
2004-06-24 22:00:00;5626.419
2004-06-25 00:00:00;5707.71
2004-06-25 02:00:00;5773.502
2004-06-25 04:00:00;5858.873
2004-06-25 06:00:00;5959.25
2004-06-25 08:00:00;6064.936
2004-06-25 10:00:00;6165.261
2004-06-25 12:00:00;6243.519
2004-06-25 14:00:00;6308.304
2004-06-25 16:00:00;6386.346
2004-06-25 18:00:00;6480.732
2004-06-25 20:00:00;6585.027
2004-06-25 22:00:00;6688.605
2004-06-26 00:00:00;6775.078
2004-06-26 02:00:00;6846.649
2004-06-26 04:00:00;6922.335
2004-06-26 06:00:00;7005.497
2004-06-26 08:00:00;7089.983
2004-06-26 10:00:00;7172.625
2004-06-26 12:00:00;7244.083
2004-06-26 14:00:00;7301.711
2004-06-26 16:00:00;7357.505
2004-06-26 18:00:00;7417.46
2004-06-26 20:00:00;7480.625
2004-06-26 22:00:00;7542.939
2004-06-27 00:00:00;7596.339
2004-06-27 02:00:00;7638.895
2004-06-27 04:00:00;7678.973
2004-06-27 06:00:00;7722.02
2004-06-27 08:00:00;7766.734
2004-06-27 10:00:00;7810.751
2004-06-27 12:00:00;7849.89
2004-06-27 14:00:00;7881.312
2004-06-27 16:00:00;7910.35
2004-06-27 18:00:00;7941.229
2004-06-27 20:00:00;7973.539
2004-06-27 22:00:00;8005.849
2004-06-28 00:00:00;8035.164
2004-06-28 02:00:00;8058.916
2004-06-28 04:00:00;8080.273
2004-06-28 06:00:00;8103.12
2004-06-28 08:00:00;8128.074
2004-06-28 10:00:00;8153.941
2004-06-28 12:00:00;8177.051
2004-06-28 14:00:00;8194.851
2004-06-28 16:00:00;8208.758
2004-06-28 18:00:00;8219.18
2004-06-28 20:00:00;8223.581
2004-06-28 22:00:00;8217.779
2004-06-29 00:00:00;8196.441
2004-06-29 02:00:00;8154.862
2004-06-29 04:00:00;8092.397
2004-06-29 06:00:00;8009.716
2004-06-29 08:00:00;7907.021
2004-06-29 10:00:00;7787.49
2004-06-29 12:00:00;7654.291
2004-06-29 14:00:00;7510.724
2004-06-29 16:00:00;7361.709
2004-06-29 18:00:00;7212.734
2004-06-29 20:00:00;7067.007
2004-06-29 22:00:00;6925.579
2004-06-30 00:00:00;6787.719
