Datum;Q_WEST1
2004-06-21 00:00:00;0
2004-06-21 02:00:00;-1156.244
2004-06-21 04:00:00;-672.7975
2004-06-21 06:00:00;-179.2973
2004-06-21 08:00:00;540.5242
2004-06-21 10:00:00;816.5544
2004-06-21 12:00:00;937.5349
2004-06-21 14:00:00;1022.849
2004-06-21 16:00:00;1086.224
2004-06-21 18:00:00;1131.727
2004-06-21 20:00:00;1161.241
2004-06-21 22:00:00;1178.439
2004-06-22 00:00:00;1191.891
2004-06-22 02:00:00;1204.22
2004-06-22 04:00:00;1210.367
2004-06-22 06:00:00;1208.094
2004-06-22 08:00:00;1201.126
2004-06-22 10:00:00;1193.12
2004-06-22 12:00:00;1189.256
2004-06-22 14:00:00;1190.294
2004-06-22 16:00:00;1186.661
2004-06-22 18:00:00;1175.914
2004-06-22 20:00:00;1161.803
2004-06-22 22:00:00;1147.94
2004-06-23 00:00:00;1141.306
2004-06-23 02:00:00;1143.422
2004-06-23 04:00:00;1142.158
2004-06-23 06:00:00;1135.136
2004-06-23 08:00:00;1127.125
2004-06-23 10:00:00;1122.617
2004-06-23 12:00:00;1130.294
2004-06-23 14:00:00;1150.583
2004-06-23 16:00:00;1168.218
2004-06-23 18:00:00;1180.654
2004-06-23 20:00:00;1192.87
2004-06-23 22:00:00;1209.103
2004-06-24 00:00:00;1238.835
2004-06-24 02:00:00;1281.063
2004-06-24 04:00:00;1317.717
2004-06-24 06:00:00;1346.288
2004-06-24 08:00:00;1372.302
2004-06-24 10:00:00;1401.188
2004-06-24 12:00:00;1442.415
2004-06-24 14:00:00;1493.771
2004-06-24 16:00:00;1537.837
2004-06-24 18:00:00;1572.373
2004-06-24 20:00:00;1603.206
2004-06-24 22:00:00;1636.257
2004-06-25 00:00:00;1679.266
2004-06-25 02:00:00;1729.389
2004-06-25 04:00:00;1773.349
2004-06-25 06:00:00;1808.817
2004-06-25 08:00:00;1840.224
2004-06-25 10:00:00;1871.912
2004-06-25 12:00:00;1909.513
2004-06-25 14:00:00;1953.877
2004-06-25 16:00:00;1996.332
2004-06-25 18:00:00;2033.654
2004-06-25 20:00:00;2067.776
2004-06-25 22:00:00;2101.596
2004-06-26 00:00:00;2139.344
2004-06-26 02:00:00;2181.857
2004-06-26 04:00:00;2223.48
2004-06-26 06:00:00;2260.841
2004-06-26 08:00:00;2294.68
2004-06-26 10:00:00;2326.709
2004-06-26 12:00:00;2359.297
2004-06-26 14:00:00;2394.311
2004-06-26 16:00:00;2429.099
2004-06-26 18:00:00;2461.017
2004-06-26 20:00:00;2490.008
2004-06-26 22:00:00;2517.177
2004-06-27 00:00:00;2544.459
2004-06-27 02:00:00;2573.265
2004-06-27 04:00:00;2601.933
2004-06-27 06:00:00;2628.486
2004-06-27 08:00:00;2652.938
2004-06-27 10:00:00;2676.236
2004-06-27 12:00:00;2699.417
2004-06-27 14:00:00;2723.284
2004-06-27 16:00:00;2746.922
2004-06-27 18:00:00;2769.016
2004-06-27 20:00:00;2789.599
2004-06-27 22:00:00;2809.269
2004-06-28 00:00:00;2828.739
2004-06-28 02:00:00;2848.629
2004-06-28 04:00:00;2868.282
2004-06-28 06:00:00;2886.667
2004-06-28 08:00:00;2903.712
2004-06-28 10:00:00;2919.914
2004-06-28 12:00:00;2935.97
2004-06-28 14:00:00;2952.38
2004-06-28 16:00:00;2968.391
2004-06-28 18:00:00;2982.503
2004-06-28 20:00:00;2993.49
2004-06-28 22:00:00;3000.445
2004-06-29 00:00:00;3002.69
2004-06-29 02:00:00;2999.642
2004-06-29 04:00:00;2990.263
2004-06-29 06:00:00;2973.343
2004-06-29 08:00:00;2948.512
2004-06-29 10:00:00;2916.979
2004-06-29 12:00:00;2880.556
2004-06-29 14:00:00;2841.106
2004-06-29 16:00:00;2799.634
2004-06-29 18:00:00;2756.77
2004-06-29 20:00:00;2713.307
2004-06-29 22:00:00;2670.024
2004-06-30 00:00:00;2627.514
