 Run datum (DD-MM-YY) and time: 5- 4-2018  12:35

 Case name                                     



 Maxima per event

 Event   Start     Node identification   Node           Maximum_flow  
  nr  year-mon-day                       name               [m3/s]
===========================================================================
   1 2008 Jan   1   rrcfGFE94                                   0.799
   1 2008 Jan   1   rrcfGFE96                                   0.411
   1 2008 Jan   1   rrcfGFE100                                  0.096
   1 2008 Jan   1   rrcfGFE102                                  0.270
   1 2008 Jan   1   rrcfGFE103                                  0.160
   1 2008 Jan   1   rrcfGFE108                                  0.128
   1 2008 Jan   1   rrcfGFE217                                  0.110
   1 2008 Jan   1   rrcfGFE111                                  1.052
   1 2008 Jan   1   rrcfGFE112                                  0.256
   1 2008 Jan   1   rrcfGFE114                                  0.250
   1 2008 Jan   1   rrcfGFE115                                  0.072
   1 2008 Jan   1   rrcfGFE116                                  0.269
   1 2008 Jan   1   rrcfGFE117                                  0.259
   1 2008 Jan   1   rrcfGFE118                                  0.402
   1 2008 Jan   1   rrcfGFE120                                  0.021
   1 2008 Jan   1   rrcfGFE15                                   0.387
   1 2008 Jan   1   rrcfGFE128                                  0.056
   1 2008 Jan   1   rrcfGFE129                                  0.471
   1 2008 Jan   1   rrcfGFE13                                   0.316
   1 2008 Jan   1   rrcfGFE75                                   0.299
   1 2008 Jan   1   rrcfGFE219                                  0.077
   1 2008 Jan   1   rrcfGFE186                                  0.257
   1 2008 Jan   1   rrcfGFE188                                  0.504
   1 2008 Jan   1   rrcfGFE1908                                 0.294
   1 2008 Jan   1   rrcfGFE1910                                 0.278
   1 2008 Jan   1   rrcfGFE192                                  0.510
   1 2008 Jan   1   rrcfGFE193                                  0.064
   1 2008 Jan   1   rrcfGFE195                                  0.252
   1 2008 Jan   1   rrcfGFE199                                  0.083
   1 2008 Jan   1   rrcfGFE222                                  0.135
   1 2008 Jan   1   rrcfGFE200                                  0.816
   1 2008 Jan   1   rrcfGFE223                                  0.143
   1 2008 Jan   1   rrcfGFE201                                  0.072
   1 2008 Jan   1   rrcfGFE202                                  0.078
   1 2008 Jan   1   rrcfGFE203                                  0.221
   1 2008 Jan   1   rrcfGFE206                                  0.299
   1 2008 Jan   1   rrcfGFE208                                  0.326
   1 2008 Jan   1   rrcfGFE224                                  0.128
   1 2008 Jan   1   rrcfGFE24                                   0.206
   1 2008 Jan   1   rrcfGFE25                                   0.397
   1 2008 Jan   1   rrcfGFE225                                  0.203
   1 2008 Jan   1   rrcfGFE125                                  0.026
   1 2008 Jan   1   rrcfGFE130                                  0.079
   1 2008 Jan   1   bndAWZI                                     0.000
